time,left ear,left forehead,right forehead,right ear
0,-13.443,-1.1961,4.9684,-11.04
1.4462,6.297,-1.1961,3.3234,8.6997
1.4507,7.9421,-2.8411,3.3234,0.47489
1.4552,6.297,0.44883,1.6785,-2.8151
1.4597,1.3621,-4.4861,3.3234,-1.1701
1.4642,-3.5728,-9.421,3.3234,-2.8151
1.4688,-1.9278,-6.1311,4.9684,-4.46
1.4733,3.0071,-4.4861,4.9684,-4.46
1.4778,4.6521,-4.4861,6.6134,2.1198
1.4823,1.3621,-4.4861,4.9684,7.0548
1.4868,-11.798,-9.421,8.2583,3.7648
1.4914,-18.378,-2.8411,3.3234,-12.685
1.4959,-10.153,0.44883,-1.6115,-14.33
1.5004,-5.2178,-2.8411,-1.6115,-9.395
1.5049,4.6521,2.0938,-1.6115,0.47489
1.5094,4.6521,0.44883,0.033493,11.99
1.5139,14.522,5.3838,-1.6115,8.6997
1.5185,22.747,3.7388,1.6785,16.925
1.523,14.522,2.0938,4.9684,16.925
1.5275,16.167,2.0938,3.3234,15.28
1.532,4.6521,-2.8411,4.9684,13.635
1.5365,7.9421,2.0938,3.3234,3.7648
1.5411,3.0071,-4.4861,3.3234,5.4098
1.5456,6.297,-1.1961,3.3234,7.0548
1.5501,7.9421,-4.4861,3.3234,10.345
1.5546,-5.2178,-11.066,3.3234,2.1198
1.5591,3.0071,-6.1311,3.3234,3.7648
1.5637,3.0071,-11.066,1.6785,5.4098
1.5682,11.232,-1.1961,1.6785,3.7648
1.5727,16.167,-4.4861,3.3234,10.345
1.5772,14.522,-7.7761,1.6785,0.47489
1.5817,16.167,-6.1311,1.6785,-1.1701
1.5863,1.3621,-6.1311,0.033493,-4.46
1.5908,-8.5078,-1.1961,-1.6115,-1.1701
1.5953,-8.5078,2.0938,1.6785,-1.1701
1.5998,-5.2178,-1.1961,3.3234,-7.75
1.6043,-13.443,-1.1961,1.6785,-24.2
1.6089,-15.088,0.44883,1.6785,-30.78
1.6134,-15.088,2.0938,0.033493,-22.555
1.6179,-13.443,0.44883,1.6785,-9.395
1.6224,-8.5078,0.44883,3.3234,5.4098
1.6269,-6.8628,2.0938,3.3234,20.215
1.6314,3.0071,10.319,3.3234,13.635
1.636,11.232,5.3838,4.9684,16.925
1.6405,14.522,8.6737,4.9684,16.925
1.645,12.877,2.0938,6.6134,15.28
1.6495,14.522,3.7388,3.3234,11.99
1.654,29.327,8.6737,3.3234,18.57
1.6586,24.392,-2.8411,4.9684,16.925
1.6631,22.747,-6.1311,4.9684,8.6997
1.6676,16.167,-9.421,4.9684,-4.46
1.6721,6.297,-9.421,3.3234,-17.62
1.6766,7.9421,-1.1961,3.3234,-11.04
